name_name,name_url,name_rank,name_rank_url,name_Athletics,name_Athletics_url
University of Florida,https://www.niche.com/colleges/university-of-florida/,1,https://www.niche.com/colleges/university-of-florida/,A+,https://www.niche.com/colleges/university-of-florida/
University of Alabama,https://www.niche.com/colleges/university-of-alabama/,2,https://www.niche.com/colleges/university-of-alabama/,A+,https://www.niche.com/colleges/university-of-alabama/
Florida State University,https://www.niche.com/colleges/florida-state-university/,3,https://www.niche.com/colleges/florida-state-university/,A+,https://www.niche.com/colleges/florida-state-university/
University of Oklahoma,https://www.niche.com/colleges/university-of-oklahoma/,4,https://www.niche.com/colleges/university-of-oklahoma/,A+,https://www.niche.com/colleges/university-of-oklahoma/
University of Texas - Austin,https://www.niche.com/colleges/university-of-texas---austin/,5,https://www.niche.com/colleges/university-of-texas---austin/,A+,https://www.niche.com/colleges/university-of-texas---austin/
Louisiana State University,https://www.niche.com/colleges/louisiana-state-university/,6,https://www.niche.com/colleges/louisiana-state-university/,A+,https://www.niche.com/colleges/louisiana-state-university/
University of Maryland - College Park,https://www.niche.com/colleges/university-of-maryland---college-park/,7,https://www.niche.com/colleges/university-of-maryland---college-park/,A+,https://www.niche.com/colleges/university-of-maryland---college-park/
University of Connecticut,https://www.niche.com/colleges/university-of-connecticut/,8,https://www.niche.com/colleges/university-of-connecticut/,A+,https://www.niche.com/colleges/university-of-connecticut/
Auburn University,https://www.niche.com/colleges/auburn-university/,9,https://www.niche.com/colleges/auburn-university/,A+,https://www.niche.com/colleges/auburn-university/
Ohio State University,https://www.niche.com/colleges/ohio-state-university/,10,https://www.niche.com/colleges/ohio-state-university/,A+,https://www.niche.com/colleges/ohio-state-university/
Michigan State University,https://www.niche.com/colleges/michigan-state-university/,11,https://www.niche.com/colleges/michigan-state-university/,A+,https://www.niche.com/colleges/michigan-state-university/
University of North Carolina at Chapel Hill,https://www.niche.com/colleges/university-of-north-carolina-at-chapel-hill/,12,https://www.niche.com/colleges/university-of-north-carolina-at-chapel-hill/,A+,https://www.niche.com/colleges/university-of-north-carolina-at-chapel-hill/
University of Miami,https://www.niche.com/colleges/university-of-miami/,13,https://www.niche.com/colleges/university-of-miami/,A+,https://www.niche.com/colleges/university-of-miami/
University of Southern California,https://www.niche.com/colleges/university-of-southern-california/,14,https://www.niche.com/colleges/university-of-southern-california/,A+,https://www.niche.com/colleges/university-of-southern-california/
University of Kentucky,https://www.niche.com/colleges/university-of-kentucky/,15,https://www.niche.com/colleges/university-of-kentucky/,A+,https://www.niche.com/colleges/university-of-kentucky/
University of Louisville,https://www.niche.com/colleges/university-of-louisville/,16,https://www.niche.com/colleges/university-of-louisville/,A+,https://www.niche.com/colleges/university-of-louisville/
Baylor University,https://www.niche.com/colleges/baylor-university/,17,https://www.niche.com/colleges/baylor-university/,A+,https://www.niche.com/colleges/baylor-university/
Duke University,https://www.niche.com/colleges/duke-university/,18,https://www.niche.com/colleges/duke-university/,A+,https://www.niche.com/colleges/duke-university/
Texas A&M University,https://www.niche.com/colleges/texas-a-and-m-university/,19,https://www.niche.com/colleges/texas-a-and-m-university/,A+,https://www.niche.com/colleges/texas-a-and-m-university/
University of Tennessee,https://www.niche.com/colleges/university-of-tennessee/,20,https://www.niche.com/colleges/university-of-tennessee/,A+,https://www.niche.com/colleges/university-of-tennessee/
University of Kansas,https://www.niche.com/colleges/university-of-kansas/,21,https://www.niche.com/colleges/university-of-kansas/,A+,https://www.niche.com/colleges/university-of-kansas/
Syracuse University,https://www.niche.com/colleges/syracuse-university/,22,https://www.niche.com/colleges/syracuse-university/,A+,https://www.niche.com/colleges/syracuse-university/
University of Notre Dame,https://www.niche.com/colleges/university-of-notre-dame/,23,https://www.niche.com/colleges/university-of-notre-dame/,A+,https://www.niche.com/colleges/university-of-notre-dame/
Penn State,https://www.niche.com/colleges/penn-state/,24,https://www.niche.com/colleges/penn-state/,A+,https://www.niche.com/colleges/penn-state/
University of Michigan - Ann Arbor,https://www.niche.com/colleges/university-of-michigan---ann-arbor/,25,https://www.niche.com/colleges/university-of-michigan---ann-arbor/,A+,https://www.niche.com/colleges/university-of-michigan---ann-arbor/
University of Arizona,https://www.niche.com/colleges/university-of-arizona/,26,https://www.niche.com/colleges/university-of-arizona/,A+,https://www.niche.com/colleges/university-of-arizona/
University of California - Los Angeles,https://www.niche.com/colleges/university-of-california---los-angeles/,27,https://www.niche.com/colleges/university-of-california---los-angeles/,A+,https://www.niche.com/colleges/university-of-california---los-angeles/
Vanderbilt University,https://www.niche.com/colleges/vanderbilt-university/,28,https://www.niche.com/colleges/vanderbilt-university/,A+,https://www.niche.com/colleges/vanderbilt-university/
University of South Carolina,https://www.niche.com/colleges/university-of-south-carolina/,29,https://www.niche.com/colleges/university-of-south-carolina/,A+,https://www.niche.com/colleges/university-of-south-carolina/
University of Mississippi,https://www.niche.com/colleges/university-of-mississippi/,30,https://www.niche.com/colleges/university-of-mississippi/,A+,https://www.niche.com/colleges/university-of-mississippi/
University of Washington,https://www.niche.com/colleges/university-of-washington/,31,https://www.niche.com/colleges/university-of-washington/,A+,https://www.niche.com/colleges/university-of-washington/
University of Wisconsin,https://www.niche.com/colleges/university-of-wisconsin/,32,https://www.niche.com/colleges/university-of-wisconsin/,A+,https://www.niche.com/colleges/university-of-wisconsin/
Mississippi State University,https://www.niche.com/colleges/mississippi-state-university/,33,https://www.niche.com/colleges/mississippi-state-university/,A+,https://www.niche.com/colleges/mississippi-state-university/
University of Georgia,https://www.niche.com/colleges/university-of-georgia/,34,https://www.niche.com/colleges/university-of-georgia/,A+,https://www.niche.com/colleges/university-of-georgia/
Clemson University,https://www.niche.com/colleges/clemson-university/,35,https://www.niche.com/colleges/clemson-university/,A+,https://www.niche.com/colleges/clemson-university/
Indiana University - Bloomington,https://www.niche.com/colleges/indiana-university---bloomington/,36,https://www.niche.com/colleges/indiana-university---bloomington/,A+,https://www.niche.com/colleges/indiana-university---bloomington/
University of Virginia,https://www.niche.com/colleges/university-of-virginia/,37,https://www.niche.com/colleges/university-of-virginia/,A+,https://www.niche.com/colleges/university-of-virginia/
Arizona State University,https://www.niche.com/colleges/arizona-state-university/,38,https://www.niche.com/colleges/arizona-state-university/,A+,https://www.niche.com/colleges/arizona-state-university/
Oklahoma State University,https://www.niche.com/colleges/oklahoma-state-university/,39,https://www.niche.com/colleges/oklahoma-state-university/,A+,https://www.niche.com/colleges/oklahoma-state-university/
Stanford University,https://www.niche.com/colleges/stanford-university/,40,https://www.niche.com/colleges/stanford-university/,A+,https://www.niche.com/colleges/stanford-university/
University of Arkansas,https://www.niche.com/colleges/university-of-arkansas/,41,https://www.niche.com/colleges/university-of-arkansas/,A+,https://www.niche.com/colleges/university-of-arkansas/
University of Oregon,https://www.niche.com/colleges/university-of-oregon/,42,https://www.niche.com/colleges/university-of-oregon/,A+,https://www.niche.com/colleges/university-of-oregon/
Texas Christian University,https://www.niche.com/colleges/texas-christian-university/,43,https://www.niche.com/colleges/texas-christian-university/,A+,https://www.niche.com/colleges/texas-christian-university/
University of Minnesota - Twin Cities,https://www.niche.com/colleges/university-of-minnesota---twin-cities/,44,https://www.niche.com/colleges/university-of-minnesota---twin-cities/,A+,https://www.niche.com/colleges/university-of-minnesota---twin-cities/
