name_name,name_url,name_rank,name_rank_url,name_grade,name_grade_url
Washington University in St. Louis,https://www.niche.com/colleges/washington-university-in-st-louis/,1,https://www.niche.com/colleges/washington-university-in-st-louis/,A+,https://www.niche.com/colleges/washington-university-in-st-louis/
Bowdoin College,https://www.niche.com/colleges/bowdoin-college/,2,https://www.niche.com/colleges/bowdoin-college/,A+,https://www.niche.com/colleges/bowdoin-college/
Virginia Tech,https://www.niche.com/colleges/virginia-tech/,3,https://www.niche.com/colleges/virginia-tech/,A+,https://www.niche.com/colleges/virginia-tech/
California Baptist University,https://www.niche.com/colleges/california-baptist-university/,4,https://www.niche.com/colleges/california-baptist-university/,A+,https://www.niche.com/colleges/california-baptist-university/
University of California - Los Angeles,https://www.niche.com/colleges/university-of-california---los-angeles/,5,https://www.niche.com/colleges/university-of-california---los-angeles/,A+,https://www.niche.com/colleges/university-of-california---los-angeles/
Liberty University,https://www.niche.com/colleges/liberty-university/,6,https://www.niche.com/colleges/liberty-university/,A+,https://www.niche.com/colleges/liberty-university/
Grand Canyon University,https://www.niche.com/colleges/grand-canyon-university/,7,https://www.niche.com/colleges/grand-canyon-university/,A+,https://www.niche.com/colleges/grand-canyon-university/
Stanford University,https://www.niche.com/colleges/stanford-university/,8,https://www.niche.com/colleges/stanford-university/,A+,https://www.niche.com/colleges/stanford-university/
James Madison University,https://www.niche.com/colleges/james-madison-university/,9,https://www.niche.com/colleges/james-madison-university/,A+,https://www.niche.com/colleges/james-madison-university/
Rice University,https://www.niche.com/colleges/rice-university/,10,https://www.niche.com/colleges/rice-university/,A+,https://www.niche.com/colleges/rice-university/
High Point University,https://www.niche.com/colleges/high-point-university/,11,https://www.niche.com/colleges/high-point-university/,A+,https://www.niche.com/colleges/high-point-university/
Rollins College,https://www.niche.com/colleges/rollins-college/,12,https://www.niche.com/colleges/rollins-college/,A+,https://www.niche.com/colleges/rollins-college/
Pomona College,https://www.niche.com/colleges/pomona-college/,13,https://www.niche.com/colleges/pomona-college/,A+,https://www.niche.com/colleges/pomona-college/
University of St. Thomas - Minnesota,https://www.niche.com/colleges/university-of-st-thomas---minnesota/,14,https://www.niche.com/colleges/university-of-st-thomas---minnesota/,A+,https://www.niche.com/colleges/university-of-st-thomas---minnesota/
Yale University,https://www.niche.com/colleges/yale-university/,15,https://www.niche.com/colleges/yale-university/,A+,https://www.niche.com/colleges/yale-university/
University of Georgia,https://www.niche.com/colleges/university-of-georgia/,16,https://www.niche.com/colleges/university-of-georgia/,A+,https://www.niche.com/colleges/university-of-georgia/
St. Norbert College,https://www.niche.com/colleges/st-norbert-college/,17,https://www.niche.com/colleges/st-norbert-college/,A+,https://www.niche.com/colleges/st-norbert-college/
Bates College,https://www.niche.com/colleges/bates-college/,18,https://www.niche.com/colleges/bates-college/,A+,https://www.niche.com/colleges/bates-college/
Santa Clara University,https://www.niche.com/colleges/santa-clara-university/,19,https://www.niche.com/colleges/santa-clara-university/,A+,https://www.niche.com/colleges/santa-clara-university/
Vanderbilt University,https://www.niche.com/colleges/vanderbilt-university/,20,https://www.niche.com/colleges/vanderbilt-university/,A+,https://www.niche.com/colleges/vanderbilt-university/
Brigham Young University,https://www.niche.com/colleges/brigham-young-university/,21,https://www.niche.com/colleges/brigham-young-university/,A+,https://www.niche.com/colleges/brigham-young-university/
Wheaton College - Illinois,https://www.niche.com/colleges/wheaton-college---illinois/,22,https://www.niche.com/colleges/wheaton-college---illinois/,A+,https://www.niche.com/colleges/wheaton-college---illinois/
Emory University,https://www.niche.com/colleges/emory-university/,23,https://www.niche.com/colleges/emory-university/,A+,https://www.niche.com/colleges/emory-university/
University of Alabama,https://www.niche.com/colleges/university-of-alabama/,24,https://www.niche.com/colleges/university-of-alabama/,A+,https://www.niche.com/colleges/university-of-alabama/
University of Michigan - Ann Arbor,https://www.niche.com/colleges/university-of-michigan---ann-arbor/,25,https://www.niche.com/colleges/university-of-michigan---ann-arbor/,A+,https://www.niche.com/colleges/university-of-michigan---ann-arbor/
Michigan State University,https://www.niche.com/colleges/michigan-state-university/,26,https://www.niche.com/colleges/michigan-state-university/,A+,https://www.niche.com/colleges/michigan-state-university/
Scripps College,https://www.niche.com/colleges/scripps-college/,27,https://www.niche.com/colleges/scripps-college/,A+,https://www.niche.com/colleges/scripps-college/
Mount Holyoke College,https://www.niche.com/colleges/mount-holyoke-college/,28,https://www.niche.com/colleges/mount-holyoke-college/,A+,https://www.niche.com/colleges/mount-holyoke-college/
Kansas State University,https://www.niche.com/colleges/kansas-state-university/,29,https://www.niche.com/colleges/kansas-state-university/,A+,https://www.niche.com/colleges/kansas-state-university/
Christopher Newport University,https://www.niche.com/colleges/christopher-newport-university/,30,https://www.niche.com/colleges/christopher-newport-university/,A+,https://www.niche.com/colleges/christopher-newport-university/
University of Colorado - Boulder,https://www.niche.com/colleges/university-of-colorado---boulder/,31,https://www.niche.com/colleges/university-of-colorado---boulder/,A+,https://www.niche.com/colleges/university-of-colorado---boulder/
University of Notre Dame,https://www.niche.com/colleges/university-of-notre-dame/,32,https://www.niche.com/colleges/university-of-notre-dame/,A+,https://www.niche.com/colleges/university-of-notre-dame/
Bryn Mawr College,https://www.niche.com/colleges/bryn-mawr-college/,33,https://www.niche.com/colleges/bryn-mawr-college/,A+,https://www.niche.com/colleges/bryn-mawr-college/
University of Oregon,https://www.niche.com/colleges/university-of-oregon/,34,https://www.niche.com/colleges/university-of-oregon/,A+,https://www.niche.com/colleges/university-of-oregon/
Elon University,https://www.niche.com/colleges/elon-university/,35,https://www.niche.com/colleges/elon-university/,A+,https://www.niche.com/colleges/elon-university/
Ball State University,https://www.niche.com/colleges/ball-state-university/,36,https://www.niche.com/colleges/ball-state-university/,A+,https://www.niche.com/colleges/ball-state-university/
Middlebury College,https://www.niche.com/colleges/middlebury-college/,37,https://www.niche.com/colleges/middlebury-college/,A+,https://www.niche.com/colleges/middlebury-college/
University of Scranton,https://www.niche.com/colleges/university-of-scranton/,38,https://www.niche.com/colleges/university-of-scranton/,A,https://www.niche.com/colleges/university-of-scranton/
Florida Gulf Coast University,https://www.niche.com/colleges/florida-gulf-coast-university/,39,https://www.niche.com/colleges/florida-gulf-coast-university/,A,https://www.niche.com/colleges/florida-gulf-coast-university/
Alverno College,https://www.niche.com/colleges/alverno-college/,40,https://www.niche.com/colleges/alverno-college/,A,https://www.niche.com/colleges/alverno-college/
University of Southern California,https://www.niche.com/colleges/university-of-southern-california/,41,https://www.niche.com/colleges/university-of-southern-california/,A,https://www.niche.com/colleges/university-of-southern-california/
University of San Diego,https://www.niche.com/colleges/university-of-san-diego/,42,https://www.niche.com/colleges/university-of-san-diego/,A,https://www.niche.com/colleges/university-of-san-diego/
Georgia Southern University,https://www.niche.com/colleges/georgia-southern-university/,43,https://www.niche.com/colleges/georgia-southern-university/,A,https://www.niche.com/colleges/georgia-southern-university/
Ohio State University,https://www.niche.com/colleges/ohio-state-university/,44,https://www.niche.com/colleges/ohio-state-university/,A,https://www.niche.com/colleges/ohio-state-university/
St. Olaf College,https://www.niche.com/colleges/st-olaf-college/,45,https://www.niche.com/colleges/st-olaf-college/,A,https://www.niche.com/colleges/st-olaf-college/
Whitman College,https://www.niche.com/colleges/whitman-college/,46,https://www.niche.com/colleges/whitman-college/,A,https://www.niche.com/colleges/whitman-college/
St. John Fisher College,https://www.niche.com/colleges/st-john-fisher-college/,47,https://www.niche.com/colleges/st-john-fisher-college/,A,https://www.niche.com/colleges/st-john-fisher-college/
Indiana Wesleyan University,https://www.niche.com/colleges/indiana-wesleyan-university/,48,https://www.niche.com/colleges/indiana-wesleyan-university/,A,https://www.niche.com/colleges/indiana-wesleyan-university/
Penn State,https://www.niche.com/colleges/penn-state/,49,https://www.niche.com/colleges/penn-state/,A,https://www.niche.com/colleges/penn-state/
The Culinary Institute of America,https://www.niche.com/colleges/the-culinary-institute-of-america/,50,https://www.niche.com/colleges/the-culinary-institute-of-america/,A,https://www.niche.com/colleges/the-culinary-institute-of-america/
University of Richmond,https://www.niche.com/colleges/university-of-richmond/,51,https://www.niche.com/colleges/university-of-richmond/,A,https://www.niche.com/colleges/university-of-richmond/
Florida State University,https://www.niche.com/colleges/florida-state-university/,52,https://www.niche.com/colleges/florida-state-university/,A,https://www.niche.com/colleges/florida-state-university/
Luther College,https://www.niche.com/colleges/luther-college/,53,https://www.niche.com/colleges/luther-college/,A,https://www.niche.com/colleges/luther-college/
Southern Methodist University,https://www.niche.com/colleges/southern-methodist-university/,54,https://www.niche.com/colleges/southern-methodist-university/,A,https://www.niche.com/colleges/southern-methodist-university/
University of Central Florida,https://www.niche.com/colleges/university-of-central-florida/,55,https://www.niche.com/colleges/university-of-central-florida/,A,https://www.niche.com/colleges/university-of-central-florida/
University of California - Davis,https://www.niche.com/colleges/university-of-california---davis/,56,https://www.niche.com/colleges/university-of-california---davis/,A,https://www.niche.com/colleges/university-of-california---davis/
University of Texas - Austin,https://www.niche.com/colleges/university-of-texas---austin/,57,https://www.niche.com/colleges/university-of-texas---austin/,A,https://www.niche.com/colleges/university-of-texas---austin/
University of Wisconsin,https://www.niche.com/colleges/university-of-wisconsin/,58,https://www.niche.com/colleges/university-of-wisconsin/,A,https://www.niche.com/colleges/university-of-wisconsin/
Indiana University - Bloomington,https://www.niche.com/colleges/indiana-university---bloomington/,59,https://www.niche.com/colleges/indiana-university---bloomington/,A,https://www.niche.com/colleges/indiana-university---bloomington/
University of Northwestern - St. Paul,https://www.niche.com/colleges/university-of-northwestern---st-paul/,60,https://www.niche.com/colleges/university-of-northwestern---st-paul/,A,https://www.niche.com/colleges/university-of-northwestern---st-paul/
University of Washington,https://www.niche.com/colleges/university-of-washington/,61,https://www.niche.com/colleges/university-of-washington/,A,https://www.niche.com/colleges/university-of-washington/
University of North Carolina at Chapel Hill,https://www.niche.com/colleges/university-of-north-carolina-at-chapel-hill/,62,https://www.niche.com/colleges/university-of-north-carolina-at-chapel-hill/,A,https://www.niche.com/colleges/university-of-north-carolina-at-chapel-hill/
Iowa State University,https://www.niche.com/colleges/iowa-state-university/,63,https://www.niche.com/colleges/iowa-state-university/,A,https://www.niche.com/colleges/iowa-state-university/
University of Alabama - Birmingham,https://www.niche.com/colleges/university-of-alabama---birmingham/,64,https://www.niche.com/colleges/university-of-alabama---birmingham/,A,https://www.niche.com/colleges/university-of-alabama---birmingham/
Princeton University,https://www.niche.com/colleges/princeton-university/,65,https://www.niche.com/colleges/princeton-university/,A,https://www.niche.com/colleges/princeton-university/
Snow College,https://www.niche.com/colleges/snow-college/,66,https://www.niche.com/colleges/snow-college/,A,https://www.niche.com/colleges/snow-college/
University of Oklahoma,https://www.niche.com/colleges/university-of-oklahoma/,67,https://www.niche.com/colleges/university-of-oklahoma/,A,https://www.niche.com/colleges/university-of-oklahoma/
University of California - Santa Barbara,https://www.niche.com/colleges/university-of-california---santa-barbara/,68,https://www.niche.com/colleges/university-of-california---santa-barbara/,A,https://www.niche.com/colleges/university-of-california---santa-barbara/
Ohio University,https://www.niche.com/colleges/ohio-university/,69,https://www.niche.com/colleges/ohio-university/,A,https://www.niche.com/colleges/ohio-university/
Indiana University - Southeast,https://www.niche.com/colleges/indiana-university---southeast/,70,https://www.niche.com/colleges/indiana-university---southeast/,A,https://www.niche.com/colleges/indiana-university---southeast/
Concordia University - Texas,https://www.niche.com/colleges/concordia-university---texas/,71,https://www.niche.com/colleges/concordia-university---texas/,A,https://www.niche.com/colleges/concordia-university---texas/
Saint Edward's University,https://www.niche.com/colleges/saint-edwards-university/,72,https://www.niche.com/colleges/saint-edwards-university/,A,https://www.niche.com/colleges/saint-edwards-university/
Colorado State University,https://www.niche.com/colleges/colorado-state-university/,73,https://www.niche.com/colleges/colorado-state-university/,A,https://www.niche.com/colleges/colorado-state-university/
Thomas Jefferson University,https://www.niche.com/colleges/thomas-jefferson-university/,74,https://www.niche.com/colleges/thomas-jefferson-university/,A,https://www.niche.com/colleges/thomas-jefferson-university/
Bob Jones University,https://www.niche.com/colleges/bob-jones-university/,75,https://www.niche.com/colleges/bob-jones-university/,A,https://www.niche.com/colleges/bob-jones-university/
University of North Florida,https://www.niche.com/colleges/university-of-north-florida/,76,https://www.niche.com/colleges/university-of-north-florida/,A,https://www.niche.com/colleges/university-of-north-florida/
Colorado College,https://www.niche.com/colleges/colorado-college/,77,https://www.niche.com/colleges/colorado-college/,A,https://www.niche.com/colleges/colorado-college/
