name_name,name_url,name_rank,name_rank_url,name_grade,name_grade_url
University of California - Los Angeles,https://www.niche.com/colleges/university-of-california---los-angeles/,1,https://www.niche.com/colleges/university-of-california---los-angeles/,A+,https://www.niche.com/colleges/university-of-california---los-angeles/
Virginia Tech,https://www.niche.com/colleges/virginia-tech/,2,https://www.niche.com/colleges/virginia-tech/,A+,https://www.niche.com/colleges/virginia-tech/
The Culinary Institute of America,https://www.niche.com/colleges/the-culinary-institute-of-america/,3,https://www.niche.com/colleges/the-culinary-institute-of-america/,A+,https://www.niche.com/colleges/the-culinary-institute-of-america/
Bates College,https://www.niche.com/colleges/bates-college/,4,https://www.niche.com/colleges/bates-college/,A+,https://www.niche.com/colleges/bates-college/
Bowdoin College,https://www.niche.com/colleges/bowdoin-college/,5,https://www.niche.com/colleges/bowdoin-college/,A+,https://www.niche.com/colleges/bowdoin-college/
Washington University in St. Louis,https://www.niche.com/colleges/washington-university-in-st-louis/,6,https://www.niche.com/colleges/washington-university-in-st-louis/,A+,https://www.niche.com/colleges/washington-university-in-st-louis/
Wesleyan University,https://www.niche.com/colleges/wesleyan-university/,7,https://www.niche.com/colleges/wesleyan-university/,A+,https://www.niche.com/colleges/wesleyan-university/
University of Massachusetts - Amherst,https://www.niche.com/colleges/university-of-massachusetts---amherst/,8,https://www.niche.com/colleges/university-of-massachusetts---amherst/,A+,https://www.niche.com/colleges/university-of-massachusetts---amherst/
California Baptist University,https://www.niche.com/colleges/california-baptist-university/,9,https://www.niche.com/colleges/california-baptist-university/,A+,https://www.niche.com/colleges/california-baptist-university/
James Madison University,https://www.niche.com/colleges/james-madison-university/,10,https://www.niche.com/colleges/james-madison-university/,A+,https://www.niche.com/colleges/james-madison-university/
Cornell University,https://www.niche.com/colleges/cornell-university/,11,https://www.niche.com/colleges/cornell-university/,A+,https://www.niche.com/colleges/cornell-university/
St. Norbert College,https://www.niche.com/colleges/st-norbert-college/,12,https://www.niche.com/colleges/st-norbert-college/,A+,https://www.niche.com/colleges/st-norbert-college/
Kendall College,https://www.niche.com/colleges/kendall-college/,13,https://www.niche.com/colleges/kendall-college/,A+,https://www.niche.com/colleges/kendall-college/
Wheaton College - Illinois,https://www.niche.com/colleges/wheaton-college---illinois/,14,https://www.niche.com/colleges/wheaton-college---illinois/,A+,https://www.niche.com/colleges/wheaton-college---illinois/
St. John Fisher College,https://www.niche.com/colleges/st-john-fisher-college/,15,https://www.niche.com/colleges/st-john-fisher-college/,A+,https://www.niche.com/colleges/st-john-fisher-college/
University of San Diego,https://www.niche.com/colleges/university-of-san-diego/,16,https://www.niche.com/colleges/university-of-san-diego/,A+,https://www.niche.com/colleges/university-of-san-diego/
Hendrix College,https://www.niche.com/colleges/hendrix-college/,17,https://www.niche.com/colleges/hendrix-college/,A+,https://www.niche.com/colleges/hendrix-college/
University of Oregon,https://www.niche.com/colleges/university-of-oregon/,18,https://www.niche.com/colleges/university-of-oregon/,A+,https://www.niche.com/colleges/university-of-oregon/
Rice University,https://www.niche.com/colleges/rice-university/,19,https://www.niche.com/colleges/rice-university/,A+,https://www.niche.com/colleges/rice-university/
University of Georgia,https://www.niche.com/colleges/university-of-georgia/,20,https://www.niche.com/colleges/university-of-georgia/,A+,https://www.niche.com/colleges/university-of-georgia/
Middlebury College,https://www.niche.com/colleges/middlebury-college/,21,https://www.niche.com/colleges/middlebury-college/,A+,https://www.niche.com/colleges/middlebury-college/
Stanford University,https://www.niche.com/colleges/stanford-university/,22,https://www.niche.com/colleges/stanford-university/,A+,https://www.niche.com/colleges/stanford-university/
University of Colorado - Boulder,https://www.niche.com/colleges/university-of-colorado---boulder/,23,https://www.niche.com/colleges/university-of-colorado---boulder/,A+,https://www.niche.com/colleges/university-of-colorado---boulder/
Andrews University,https://www.niche.com/colleges/andrews-university/,24,https://www.niche.com/colleges/andrews-university/,A+,https://www.niche.com/colleges/andrews-university/
St. Olaf College,https://www.niche.com/colleges/st-olaf-college/,25,https://www.niche.com/colleges/st-olaf-college/,A+,https://www.niche.com/colleges/st-olaf-college/
Tufts University,https://www.niche.com/colleges/tufts-university/,26,https://www.niche.com/colleges/tufts-university/,A+,https://www.niche.com/colleges/tufts-university/
Gustavus Adolphus College,https://www.niche.com/colleges/gustavus-adolphus-college/,27,https://www.niche.com/colleges/gustavus-adolphus-college/,A+,https://www.niche.com/colleges/gustavus-adolphus-college/
Skidmore College,https://www.niche.com/colleges/skidmore-college/,28,https://www.niche.com/colleges/skidmore-college/,A+,https://www.niche.com/colleges/skidmore-college/
Liberty University,https://www.niche.com/colleges/liberty-university/,29,https://www.niche.com/colleges/liberty-university/,A+,https://www.niche.com/colleges/liberty-university/
Colorado College,https://www.niche.com/colleges/colorado-college/,30,https://www.niche.com/colleges/colorado-college/,A+,https://www.niche.com/colleges/colorado-college/
Vanderbilt University,https://www.niche.com/colleges/vanderbilt-university/,31,https://www.niche.com/colleges/vanderbilt-university/,A+,https://www.niche.com/colleges/vanderbilt-university/
Seattle University,https://www.niche.com/colleges/seattle-university/,32,https://www.niche.com/colleges/seattle-university/,A+,https://www.niche.com/colleges/seattle-university/
Kennesaw State University,https://www.niche.com/colleges/kennesaw-state-university/,33,https://www.niche.com/colleges/kennesaw-state-university/,A+,https://www.niche.com/colleges/kennesaw-state-university/
Grand Canyon University,https://www.niche.com/colleges/grand-canyon-university/,34,https://www.niche.com/colleges/grand-canyon-university/,A+,https://www.niche.com/colleges/grand-canyon-university/
University of New Hampshire,https://www.niche.com/colleges/university-of-new-hampshire/,35,https://www.niche.com/colleges/university-of-new-hampshire/,A+,https://www.niche.com/colleges/university-of-new-hampshire/
The College of Idaho,https://www.niche.com/colleges/the-college-of-idaho/,36,https://www.niche.com/colleges/the-college-of-idaho/,A+,https://www.niche.com/colleges/the-college-of-idaho/
Pitzer College,https://www.niche.com/colleges/pitzer-college/,37,https://www.niche.com/colleges/pitzer-college/,A+,https://www.niche.com/colleges/pitzer-college/
Pomona College,https://www.niche.com/colleges/pomona-college/,38,https://www.niche.com/colleges/pomona-college/,A+,https://www.niche.com/colleges/pomona-college/
Roger Williams University,https://www.niche.com/colleges/roger-williams-university/,39,https://www.niche.com/colleges/roger-williams-university/,A+,https://www.niche.com/colleges/roger-williams-university/
Ashland University,https://www.niche.com/colleges/ashland-university/,40,https://www.niche.com/colleges/ashland-university/,A+,https://www.niche.com/colleges/ashland-university/
Concordia College,https://www.niche.com/colleges/concordia-college/,41,https://www.niche.com/colleges/concordia-college/,A+,https://www.niche.com/colleges/concordia-college/
Southern New Hampshire University,https://www.niche.com/colleges/southern-new-hampshire-university/,42,https://www.niche.com/colleges/southern-new-hampshire-university/,A+,https://www.niche.com/colleges/southern-new-hampshire-university/
University of Dayton,https://www.niche.com/colleges/university-of-dayton/,43,https://www.niche.com/colleges/university-of-dayton/,A+,https://www.niche.com/colleges/university-of-dayton/
