name_name,name_url,name_rank,name_rank_url,name_grade,name_grade_url
University of San Francisco,https://www.niche.com/colleges/university-of-san-francisco/,1,https://www.niche.com/colleges/university-of-san-francisco/,A+,https://www.niche.com/colleges/university-of-san-francisco/
DePaul University,https://www.niche.com/colleges/depaul-university/,2,https://www.niche.com/colleges/depaul-university/,A+,https://www.niche.com/colleges/depaul-university/
Saint Edward's University,https://www.niche.com/colleges/saint-edwards-university/,3,https://www.niche.com/colleges/saint-edwards-university/,A+,https://www.niche.com/colleges/saint-edwards-university/
College of Charleston,https://www.niche.com/colleges/college-of-charleston/,4,https://www.niche.com/colleges/college-of-charleston/,A+,https://www.niche.com/colleges/college-of-charleston/
University of Texas - Austin,https://www.niche.com/colleges/university-of-texas---austin/,5,https://www.niche.com/colleges/university-of-texas---austin/,A+,https://www.niche.com/colleges/university-of-texas---austin/
University of South Florida - St. Petersburg,https://www.niche.com/colleges/university-of-south-florida---st-petersburg/,6,https://www.niche.com/colleges/university-of-south-florida---st-petersburg/,A+,https://www.niche.com/colleges/university-of-south-florida---st-petersburg/
University of Michigan - Ann Arbor,https://www.niche.com/colleges/university-of-michigan---ann-arbor/,7,https://www.niche.com/colleges/university-of-michigan---ann-arbor/,A+,https://www.niche.com/colleges/university-of-michigan---ann-arbor/
New York University,https://www.niche.com/colleges/new-york-university/,8,https://www.niche.com/colleges/new-york-university/,A+,https://www.niche.com/colleges/new-york-university/
Massachusetts Institute of Technology,https://www.niche.com/colleges/massachusetts-institute-of-technology/,9,https://www.niche.com/colleges/massachusetts-institute-of-technology/,A+,https://www.niche.com/colleges/massachusetts-institute-of-technology/
University of Pittsburgh,https://www.niche.com/colleges/university-of-pittsburgh/,10,https://www.niche.com/colleges/university-of-pittsburgh/,A+,https://www.niche.com/colleges/university-of-pittsburgh/
University of Georgia,https://www.niche.com/colleges/university-of-georgia/,11,https://www.niche.com/colleges/university-of-georgia/,A+,https://www.niche.com/colleges/university-of-georgia/
Stevens Institute of Technology,https://www.niche.com/colleges/stevens-institute-of-technology/,12,https://www.niche.com/colleges/stevens-institute-of-technology/,A+,https://www.niche.com/colleges/stevens-institute-of-technology/
Roosevelt University,https://www.niche.com/colleges/roosevelt-university/,13,https://www.niche.com/colleges/roosevelt-university/,A,https://www.niche.com/colleges/roosevelt-university/
Columbia College Chicago,https://www.niche.com/colleges/columbia-college-chicago/,14,https://www.niche.com/colleges/columbia-college-chicago/,A,https://www.niche.com/colleges/columbia-college-chicago/
Thomas Jefferson University,https://www.niche.com/colleges/thomas-jefferson-university/,15,https://www.niche.com/colleges/thomas-jefferson-university/,A,https://www.niche.com/colleges/thomas-jefferson-university/
Tulane University,https://www.niche.com/colleges/tulane-university/,16,https://www.niche.com/colleges/tulane-university/,A,https://www.niche.com/colleges/tulane-university/
Duquesne University,https://www.niche.com/colleges/duquesne-university/,17,https://www.niche.com/colleges/duquesne-university/,A,https://www.niche.com/colleges/duquesne-university/
Bellarmine University,https://www.niche.com/colleges/bellarmine-university/,18,https://www.niche.com/colleges/bellarmine-university/,A,https://www.niche.com/colleges/bellarmine-university/
Harvard University,https://www.niche.com/colleges/harvard-university/,19,https://www.niche.com/colleges/harvard-university/,A,https://www.niche.com/colleges/harvard-university/
Southern Methodist University,https://www.niche.com/colleges/southern-methodist-university/,20,https://www.niche.com/colleges/southern-methodist-university/,A,https://www.niche.com/colleges/southern-methodist-university/
The New School,https://www.niche.com/colleges/the-new-school/,21,https://www.niche.com/colleges/the-new-school/,A,https://www.niche.com/colleges/the-new-school/
University of Wisconsin,https://www.niche.com/colleges/university-of-wisconsin/,22,https://www.niche.com/colleges/university-of-wisconsin/,A,https://www.niche.com/colleges/university-of-wisconsin/
University of Colorado - Denver,https://www.niche.com/colleges/university-of-colorado---denver/,23,https://www.niche.com/colleges/university-of-colorado---denver/,A,https://www.niche.com/colleges/university-of-colorado---denver/
Boston University,https://www.niche.com/colleges/boston-university/,24,https://www.niche.com/colleges/boston-university/,A,https://www.niche.com/colleges/boston-university/
Parsons School of Design - The New School,https://www.niche.com/colleges/parsons-school-of-design---the-new-school/,25,https://www.niche.com/colleges/parsons-school-of-design---the-new-school/,A,https://www.niche.com/colleges/parsons-school-of-design---the-new-school/
Colorado State University,https://www.niche.com/colleges/colorado-state-university/,26,https://www.niche.com/colleges/colorado-state-university/,A,https://www.niche.com/colleges/colorado-state-university/
Northeastern University,https://www.niche.com/colleges/northeastern-university/,27,https://www.niche.com/colleges/northeastern-university/,A,https://www.niche.com/colleges/northeastern-university/
Emmanuel College - Massachusetts,https://www.niche.com/colleges/emmanuel-college---massachusetts/,28,https://www.niche.com/colleges/emmanuel-college---massachusetts/,A,https://www.niche.com/colleges/emmanuel-college---massachusetts/
University of Minnesota - Twin Cities,https://www.niche.com/colleges/university-of-minnesota---twin-cities/,29,https://www.niche.com/colleges/university-of-minnesota---twin-cities/,A,https://www.niche.com/colleges/university-of-minnesota---twin-cities/
Lesley University,https://www.niche.com/colleges/lesley-university/,30,https://www.niche.com/colleges/lesley-university/,A,https://www.niche.com/colleges/lesley-university/
Seattle University,https://www.niche.com/colleges/seattle-university/,31,https://www.niche.com/colleges/seattle-university/,A,https://www.niche.com/colleges/seattle-university/
Metropolitan State University of Denver,https://www.niche.com/colleges/metropolitan-state-university-of-denver/,32,https://www.niche.com/colleges/metropolitan-state-university-of-denver/,A,https://www.niche.com/colleges/metropolitan-state-university-of-denver/
Fashion Institute of Technology,https://www.niche.com/colleges/fashion-institute-of-technology/,33,https://www.niche.com/colleges/fashion-institute-of-technology/,A,https://www.niche.com/colleges/fashion-institute-of-technology/
University of California - Los Angeles,https://www.niche.com/colleges/university-of-california---los-angeles/,34,https://www.niche.com/colleges/university-of-california---los-angeles/,A,https://www.niche.com/colleges/university-of-california---los-angeles/
Lipscomb University,https://www.niche.com/colleges/lipscomb-university/,35,https://www.niche.com/colleges/lipscomb-university/,A,https://www.niche.com/colleges/lipscomb-university/
Virginia Tech,https://www.niche.com/colleges/virginia-tech/,36,https://www.niche.com/colleges/virginia-tech/,A,https://www.niche.com/colleges/virginia-tech/
University of Pennsylvania,https://www.niche.com/colleges/university-of-pennsylvania/,37,https://www.niche.com/colleges/university-of-pennsylvania/,A,https://www.niche.com/colleges/university-of-pennsylvania/
Indiana University - Bloomington,https://www.niche.com/colleges/indiana-university---bloomington/,38,https://www.niche.com/colleges/indiana-university---bloomington/,A,https://www.niche.com/colleges/indiana-university---bloomington/
Carlow University,https://www.niche.com/colleges/carlow-university/,39,https://www.niche.com/colleges/carlow-university/,A,https://www.niche.com/colleges/carlow-university/
University of Denver,https://www.niche.com/colleges/university-of-denver/,40,https://www.niche.com/colleges/university-of-denver/,A,https://www.niche.com/colleges/university-of-denver/
Chatham University,https://www.niche.com/colleges/chatham-university/,41,https://www.niche.com/colleges/chatham-university/,A,https://www.niche.com/colleges/chatham-university/
University of the Arts,https://www.niche.com/colleges/university-of-the-arts/,42,https://www.niche.com/colleges/university-of-the-arts/,A,https://www.niche.com/colleges/university-of-the-arts/
George Washington University,https://www.niche.com/colleges/george-washington-university/,43,https://www.niche.com/colleges/george-washington-university/,A,https://www.niche.com/colleges/george-washington-university/
Portland State University,https://www.niche.com/colleges/portland-state-university/,44,https://www.niche.com/colleges/portland-state-university/,A,https://www.niche.com/colleges/portland-state-university/
University of Iowa,https://www.niche.com/colleges/university-of-iowa/,45,https://www.niche.com/colleges/university-of-iowa/,A,https://www.niche.com/colleges/university-of-iowa/
Emerson College,https://www.niche.com/colleges/emerson-college/,46,https://www.niche.com/colleges/emerson-college/,A,https://www.niche.com/colleges/emerson-college/
Vanguard University of Southern California,https://www.niche.com/colleges/vanguard-university-of-southern-california/,47,https://www.niche.com/colleges/vanguard-university-of-southern-california/,A,https://www.niche.com/colleges/vanguard-university-of-southern-california/
San Francisco State University,https://www.niche.com/colleges/san-francisco-state-university/,48,https://www.niche.com/colleges/san-francisco-state-university/,A,https://www.niche.com/colleges/san-francisco-state-university/
University of Kansas,https://www.niche.com/colleges/university-of-kansas/,49,https://www.niche.com/colleges/university-of-kansas/,A,https://www.niche.com/colleges/university-of-kansas/
Kansas State University,https://www.niche.com/colleges/kansas-state-university/,50,https://www.niche.com/colleges/kansas-state-university/,A,https://www.niche.com/colleges/kansas-state-university/
Moody Bible Institute,https://www.niche.com/colleges/moody-bible-institute/,51,https://www.niche.com/colleges/moody-bible-institute/,A,https://www.niche.com/colleges/moody-bible-institute/
Milwaukee School of Engineering,https://www.niche.com/colleges/milwaukee-school-of-engineering/,52,https://www.niche.com/colleges/milwaukee-school-of-engineering/,A,https://www.niche.com/colleges/milwaukee-school-of-engineering/
Hawaii Pacific University,https://www.niche.com/colleges/hawaii-pacific-university/,53,https://www.niche.com/colleges/hawaii-pacific-university/,A,https://www.niche.com/colleges/hawaii-pacific-university/
Suffolk University,https://www.niche.com/colleges/suffolk-university/,54,https://www.niche.com/colleges/suffolk-university/,A,https://www.niche.com/colleges/suffolk-university/
North Central University,https://www.niche.com/colleges/north-central-university/,55,https://www.niche.com/colleges/north-central-university/,A,https://www.niche.com/colleges/north-central-university/
Loyola University New Orleans,https://www.niche.com/colleges/loyola-university-new-orleans/,56,https://www.niche.com/colleges/loyola-university-new-orleans/,A,https://www.niche.com/colleges/loyola-university-new-orleans/
Columbia University,https://www.niche.com/colleges/columbia-university/,57,https://www.niche.com/colleges/columbia-university/,A,https://www.niche.com/colleges/columbia-university/
University of Nebraska - Lincoln,https://www.niche.com/colleges/university-of-nebraska---lincoln/,58,https://www.niche.com/colleges/university-of-nebraska---lincoln/,A,https://www.niche.com/colleges/university-of-nebraska---lincoln/
Berklee College of Music,https://www.niche.com/colleges/berklee-college-of-music/,59,https://www.niche.com/colleges/berklee-college-of-music/,A,https://www.niche.com/colleges/berklee-college-of-music/
Western Washington University,https://www.niche.com/colleges/western-washington-university/,60,https://www.niche.com/colleges/western-washington-university/,A,https://www.niche.com/colleges/western-washington-university/
Towson University,https://www.niche.com/colleges/towson-university/,61,https://www.niche.com/colleges/towson-university/,A,https://www.niche.com/colleges/towson-university/
Arizona State University,https://www.niche.com/colleges/arizona-state-university/,62,https://www.niche.com/colleges/arizona-state-university/,A,https://www.niche.com/colleges/arizona-state-university/
CUNY John Jay College of Criminal Justice,https://www.niche.com/colleges/cuny-john-jay-college-of-criminal-justice/,63,https://www.niche.com/colleges/cuny-john-jay-college-of-criminal-justice/,A,https://www.niche.com/colleges/cuny-john-jay-college-of-criminal-justice/
Wheelock College,https://www.niche.com/colleges/wheelock-college/,64,https://www.niche.com/colleges/wheelock-college/,A,https://www.niche.com/colleges/wheelock-college/
Loyola University Chicago,https://www.niche.com/colleges/loyola-university-chicago/,65,https://www.niche.com/colleges/loyola-university-chicago/,A,https://www.niche.com/colleges/loyola-university-chicago/
Rollins College,https://www.niche.com/colleges/rollins-college/,66,https://www.niche.com/colleges/rollins-college/,A,https://www.niche.com/colleges/rollins-college/
Ohio State University,https://www.niche.com/colleges/ohio-state-university/,67,https://www.niche.com/colleges/ohio-state-university/,A,https://www.niche.com/colleges/ohio-state-university/
