name_name,name_url,name_rank,name_rank_url,name_grade,name_grade_url
Bay Path University,https://www.niche.com/colleges/bay-path-university/,1,https://www.niche.com/colleges/bay-path-university/,A+,https://www.niche.com/colleges/bay-path-university/
Molloy College,https://www.niche.com/colleges/molloy-college/,2,https://www.niche.com/colleges/molloy-college/,A+,https://www.niche.com/colleges/molloy-college/
Rochester College,https://www.niche.com/colleges/rochester-college/,3,https://www.niche.com/colleges/rochester-college/,A+,https://www.niche.com/colleges/rochester-college/
Greenville College,https://www.niche.com/colleges/greenville-college/,4,https://www.niche.com/colleges/greenville-college/,A+,https://www.niche.com/colleges/greenville-college/
Gordon College,https://www.niche.com/colleges/gordon-college/,5,https://www.niche.com/colleges/gordon-college/,A+,https://www.niche.com/colleges/gordon-college/
Southwestern Adventist University,https://www.niche.com/colleges/southwestern-adventist-university/,6,https://www.niche.com/colleges/southwestern-adventist-university/,A+,https://www.niche.com/colleges/southwestern-adventist-university/
Huntington University,https://www.niche.com/colleges/huntington-university/,7,https://www.niche.com/colleges/huntington-university/,A+,https://www.niche.com/colleges/huntington-university/
Athens State University,https://www.niche.com/colleges/athens-state-university/,8,https://www.niche.com/colleges/athens-state-university/,A+,https://www.niche.com/colleges/athens-state-university/
Penn State New Kensington,https://www.niche.com/colleges/penn-state-new-kensington/,9,https://www.niche.com/colleges/penn-state-new-kensington/,A+,https://www.niche.com/colleges/penn-state-new-kensington/
Mount Vernon Nazarene University,https://www.niche.com/colleges/mount-vernon-nazarene-university/,10,https://www.niche.com/colleges/mount-vernon-nazarene-university/,A+,https://www.niche.com/colleges/mount-vernon-nazarene-university/
Piedmont College,https://www.niche.com/colleges/piedmont-college/,11,https://www.niche.com/colleges/piedmont-college/,A+,https://www.niche.com/colleges/piedmont-college/
Penn State Lehigh Valley,https://www.niche.com/colleges/penn-state-lehigh-valley/,12,https://www.niche.com/colleges/penn-state-lehigh-valley/,A+,https://www.niche.com/colleges/penn-state-lehigh-valley/
Hodges University,https://www.niche.com/colleges/hodges-university/,13,https://www.niche.com/colleges/hodges-university/,A+,https://www.niche.com/colleges/hodges-university/
DeSales University,https://www.niche.com/colleges/desales-university/,14,https://www.niche.com/colleges/desales-university/,A+,https://www.niche.com/colleges/desales-university/
Northwest University,https://www.niche.com/colleges/northwest-university/,15,https://www.niche.com/colleges/northwest-university/,A+,https://www.niche.com/colleges/northwest-university/
Eureka College,https://www.niche.com/colleges/eureka-college/,16,https://www.niche.com/colleges/eureka-college/,A+,https://www.niche.com/colleges/eureka-college/
Hondros College,https://www.niche.com/colleges/hondros-college/,17,https://www.niche.com/colleges/hondros-college/,A+,https://www.niche.com/colleges/hondros-college/
Brandman University,https://www.niche.com/colleges/brandman-university/,18,https://www.niche.com/colleges/brandman-university/,A+,https://www.niche.com/colleges/brandman-university/
Juniata College,https://www.niche.com/colleges/juniata-college/,19,https://www.niche.com/colleges/juniata-college/,A+,https://www.niche.com/colleges/juniata-college/
Central Christian College of Kansas,https://www.niche.com/colleges/central-christian-college-of-kansas/,20,https://www.niche.com/colleges/central-christian-college-of-kansas/,A+,https://www.niche.com/colleges/central-christian-college-of-kansas/
Brescia University,https://www.niche.com/colleges/brescia-university/,21,https://www.niche.com/colleges/brescia-university/,A+,https://www.niche.com/colleges/brescia-university/
ECPI University,https://www.niche.com/colleges/ecpi-university/,22,https://www.niche.com/colleges/ecpi-university/,A+,https://www.niche.com/colleges/ecpi-university/
University of Sioux Falls,https://www.niche.com/colleges/university-of-sioux-falls/,23,https://www.niche.com/colleges/university-of-sioux-falls/,A+,https://www.niche.com/colleges/university-of-sioux-falls/
Grace Bible College,https://www.niche.com/colleges/grace-bible-college/,24,https://www.niche.com/colleges/grace-bible-college/,A+,https://www.niche.com/colleges/grace-bible-college/
University of Minnesota - Crookston,https://www.niche.com/colleges/university-of-minnesota---crookston/,25,https://www.niche.com/colleges/university-of-minnesota---crookston/,A+,https://www.niche.com/colleges/university-of-minnesota---crookston/
Bellevue University,https://www.niche.com/colleges/bellevue-university/,26,https://www.niche.com/colleges/bellevue-university/,A+,https://www.niche.com/colleges/bellevue-university/
Southwestern Oklahoma State University,https://www.niche.com/colleges/southwestern-oklahoma-state-university/,27,https://www.niche.com/colleges/southwestern-oklahoma-state-university/,A+,https://www.niche.com/colleges/southwestern-oklahoma-state-university/
University of Maine at Fort Kent,https://www.niche.com/colleges/university-of-maine-at-fort-kent/,28,https://www.niche.com/colleges/university-of-maine-at-fort-kent/,A+,https://www.niche.com/colleges/university-of-maine-at-fort-kent/
Penn State Brandywine,https://www.niche.com/colleges/penn-state-brandywine/,29,https://www.niche.com/colleges/penn-state-brandywine/,A+,https://www.niche.com/colleges/penn-state-brandywine/
United States Merchant Marine Academy,https://www.niche.com/colleges/united-states-merchant-marine-academy/,30,https://www.niche.com/colleges/united-states-merchant-marine-academy/,A+,https://www.niche.com/colleges/united-states-merchant-marine-academy/
Goshen College,https://www.niche.com/colleges/goshen-college/,31,https://www.niche.com/colleges/goshen-college/,A+,https://www.niche.com/colleges/goshen-college/
Western Oregon University,https://www.niche.com/colleges/western-oregon-university/,32,https://www.niche.com/colleges/western-oregon-university/,A+,https://www.niche.com/colleges/western-oregon-university/
Mid-America Christian University,https://www.niche.com/colleges/mid-america-christian-university/,33,https://www.niche.com/colleges/mid-america-christian-university/,A+,https://www.niche.com/colleges/mid-america-christian-university/
