property,niche_ranking,name,state,male_famle_rate,student_population,academics,athletics,dorms,student_life,campus,party,location,food,safety,campus_life,engineering_subject,business_subject,computer_science_subject,art_subject,acceptance_rate,sat_scores,QS_ranking,QS_overall
Private,1,Stanford University,CA,52/48,7000,A+,A+,A,A+,A+,B+,B,A+,B-,,2,1188,2,550,5,1390-1580,2,98.7
Private,2,Massachusetts Institute of Technology,MA,54/46,4492,A+,B-,A-,A+,B+,A,A+,B+,B,,1,3,1,#N/A,8,1430-1580,1,100
Private,3,Harvard University,MA,53/47,7183,A+,B,A,A+,A,A-,A,B,B,,8,#N/A,4,543,6,1400-1600,3,98.4
Private,4,Yale University,CT,51/49,5509,A+,A-,A+,A+,A+,A,B,A,C,,7,#N/A,6,615,7,1430-1600,8,90.4
Private,5,Rice University,TX,53/47,3863,A+,A,A+,A+,A+,A,A,A+,C+,,6,10,7,3,16,1390-1560,29,65.6
Private,6,Princeton University,NJ,52/48,5277,A+,B+,A,A+,A,B+,B,A,B+,,3,#N/A,#N/A,#N/A,7,1390-1590,6,91
Private,7,University of Pennsylvania,PA,48/52,10406,A+,B,B,A+,A-,A+,A,B,B-,,10,1,10,5,10,1380-1550,11,88.7
Private,8,Brown University,RI,48/52,6318,A+,B,B,A+,A-,A-,A-,B+,B-,,27,1219,12,6,9,1370-1560,20,76.5
Private,9,Bowdoin College,ME,50/50,17940,A+,B,A+,A+,A+,B-,C+,A+,A,,#N/A,#N/A,44,8,15,1360-1510,#N/A,#N/A
Private,10,California Institute of Technology,CA,61/39,1001,A+,C+,A-,A-,A-,B-,B,B-,B,,5,#N/A,5,#N/A,9,1500-1600,4,97.7
Private,11,Columbia University,NY,53/47,7523,A+,B,B,A+,A-,A-,A,A,B-,,15,12,13,#N/A,7,1380-1570,10,88.9
Private,12,Duke University,NC,51/49,6611,A+,A+,B,A+,A,A-,B-,B+,C+,,9,#N/A,23,568,11,1360-1550,12,87
Private,13,Vanderbilt University,TN,50/50,6822,A+,A+,B,A+,A+,A+,A,A+,C+,,20,#N/A,11,558,12,1430-1590,50,46.5
Private,14,Washington University in St. Louis,MO,49/51,6819,A+,B+,A+,A+,A+,A-,A,A+,B,,24,5,22,559,17,1400-1550,31,64.6
Private,15,Dartmouth College,NH,51/49,6819,A+,B+,B+,A-,A,B-,D+,A,B,,31,#N/A,16,691,11,1330-1560,42,51.3
Private,16,University of Notre Dame,IN,52/48,8450,A+,A+,A,A+,A+,A-,C+,A,C+,,13,6,33,514,20,1350-1530,52,45.9
Private,17,University of Chicago,IL,52/48,5978,A+,B-,A,A+,A,B+,B+,B,B-,,#N/A,#N/A,19,#N/A,8,1440-1600,5,93.5
Private,18,Pomona College,CA,50/50,1651,A+,B-,A+,A+,A+,B,B+,A+,B,,#N/A,#N/A,26,1018,10,1360-1530,#N/A,#N/A
Private,19,University of Southern California,CA,49/51,18208,A+,A+,B+,A+,A,A+,B+,A-,B,,16,2,9,7,17,1270-1500,35,57.2
Private,20,Cornell University,NY,52/48,14303,A+,B,C,A,A,A-,B+,A+,B,,11,9,18,12,15,1330-1530,7,90.7
Private,21,Northwestern University,IL,50/50,8247,A+,A+,C,A+,B+,A-,B+,B+,B,,26,20,30,#N/A,13,1400-1560,15,84.8
Private,22,Tufts University,MA,50/50,5215,A+,B,B-,A+,A,B+,A-,A+,B,,35,#N/A,27,26,16,1370-1520,55,42
Public,23,University of Michigan - Ann Arbor,MI,50/50,27258,A+,A+,B-,A+,A+,A+,A+,A+,B-,,12,8,20,15,26,1290-1500,13,87
Private,24,Georgetown University,DC,45/55,7175,A+,B+,C+,A+,B-,A,A,B-,C+,,#N/A,4,29,544,17,1320-1500,53,43.8
Private,25,Carleton College,MN,49/51,1997,A+,B-,A-,A+,A-,B,B,B+,B,,#N/A,#N/A,35,946,21,1320-1520,#N/A,#N/A
Private,26,Harvey Mudd College,CA,53/47,815,A+,#N/A,B,A,B,B,B-,B,B+,,34,#N/A,15,#N/A,13,1400-1560,#N/A,#N/A
Private,27,Emory University,GA,42/58,6751,A+,C+,A,A,A+,B+,A,A,B-,,#N/A,23,57,#N/A,24,1270-1490,38,54.4
Private,28,Middlebury College,VT,47/53,2516,A+,B+,B+,A,A+,C+,D+,A+,B,,#N/A,#N/A,66,870,17,1270-1500,#N/A,#N/A
Private,29,Carnegie Mellon University,PA,55/45,5853,A+,C+,B-,A,B,B+,A-,B-,B-,,22,18,3,9,24,1360-1540,18,78.6
Private,30,Washington & Lee University,VA,51/49,1851,A+,B-,A,A-,A-,A,B-,B-,B-,,64,15,1152,979,24,1310-1470,#N/A,#N/A
Private,31,Swarthmore College,PA,50/50,1571,A+,B-,A-,A,B+,B-,B-,B,C+,,48,#N/A,39,1029,12,1340-1530,#N/A,#N/A
Public,32,University of Virginia,VA,45/55,15607,A+,A+,B,A+,A-,A+,A,C+,B-,,37,16,31,65,30,1250-1460,43,50.3
Private,33,Barnard College,NY,0/100,2511,A+,#N/A,C+,A+,B+,A-,A,B,B,,#N/A,#N/A,1014,#N/A,15,1260-1450,#N/A,#N/A
Private,34,Claremont McKenna College,CA,51/49,1327,A+,B-,A-,A,B+,B+,B-,A+,C+,,#N/A,#N/A,50,#N/A,11,1340-1530,#N/A,#N/A
