name_name,name_url,name_rank,name_rank_url,name_student_life,name_student_life_url
Rice University,https://www.niche.com/colleges/rice-university/,1,https://www.niche.com/colleges/rice-university/,A+,https://www.niche.com/colleges/rice-university/
Stanford University,https://www.niche.com/colleges/stanford-university/,2,https://www.niche.com/colleges/stanford-university/,A+,https://www.niche.com/colleges/stanford-university/
University of Michigan - Ann Arbor,https://www.niche.com/colleges/university-of-michigan---ann-arbor/,3,https://www.niche.com/colleges/university-of-michigan---ann-arbor/,A+,https://www.niche.com/colleges/university-of-michigan---ann-arbor/
University of Texas - Austin,https://www.niche.com/colleges/university-of-texas---austin/,4,https://www.niche.com/colleges/university-of-texas---austin/,A+,https://www.niche.com/colleges/university-of-texas---austin/
Washington University in St. Louis,https://www.niche.com/colleges/washington-university-in-st-louis/,5,https://www.niche.com/colleges/washington-university-in-st-louis/,A+,https://www.niche.com/colleges/washington-university-in-st-louis/
Massachusetts Institute of Technology,https://www.niche.com/colleges/massachusetts-institute-of-technology/,6,https://www.niche.com/colleges/massachusetts-institute-of-technology/,A+,https://www.niche.com/colleges/massachusetts-institute-of-technology/
University of California - Los Angeles,https://www.niche.com/colleges/university-of-california---los-angeles/,7,https://www.niche.com/colleges/university-of-california---los-angeles/,A+,https://www.niche.com/colleges/university-of-california---los-angeles/
University of Virginia,https://www.niche.com/colleges/university-of-virginia/,8,https://www.niche.com/colleges/university-of-virginia/,A+,https://www.niche.com/colleges/university-of-virginia/
University of Wisconsin,https://www.niche.com/colleges/university-of-wisconsin/,9,https://www.niche.com/colleges/university-of-wisconsin/,A+,https://www.niche.com/colleges/university-of-wisconsin/
University of Southern California,https://www.niche.com/colleges/university-of-southern-california/,10,https://www.niche.com/colleges/university-of-southern-california/,A+,https://www.niche.com/colleges/university-of-southern-california/
Virginia Tech,https://www.niche.com/colleges/virginia-tech/,11,https://www.niche.com/colleges/virginia-tech/,A+,https://www.niche.com/colleges/virginia-tech/
University of Pennsylvania,https://www.niche.com/colleges/university-of-pennsylvania/,12,https://www.niche.com/colleges/university-of-pennsylvania/,A+,https://www.niche.com/colleges/university-of-pennsylvania/
University of Georgia,https://www.niche.com/colleges/university-of-georgia/,13,https://www.niche.com/colleges/university-of-georgia/,A+,https://www.niche.com/colleges/university-of-georgia/
University of North Carolina at Chapel Hill,https://www.niche.com/colleges/university-of-north-carolina-at-chapel-hill/,14,https://www.niche.com/colleges/university-of-north-carolina-at-chapel-hill/,A+,https://www.niche.com/colleges/university-of-north-carolina-at-chapel-hill/
Yale University,https://www.niche.com/colleges/yale-university/,15,https://www.niche.com/colleges/yale-university/,A+,https://www.niche.com/colleges/yale-university/
Vanderbilt University,https://www.niche.com/colleges/vanderbilt-university/,16,https://www.niche.com/colleges/vanderbilt-university/,A+,https://www.niche.com/colleges/vanderbilt-university/
University of Notre Dame,https://www.niche.com/colleges/university-of-notre-dame/,17,https://www.niche.com/colleges/university-of-notre-dame/,A+,https://www.niche.com/colleges/university-of-notre-dame/
University of Florida,https://www.niche.com/colleges/university-of-florida/,18,https://www.niche.com/colleges/university-of-florida/,A+,https://www.niche.com/colleges/university-of-florida/
Texas A&M University,https://www.niche.com/colleges/texas-a-and-m-university/,19,https://www.niche.com/colleges/texas-a-and-m-university/,A+,https://www.niche.com/colleges/texas-a-and-m-university/
Michigan State University,https://www.niche.com/colleges/michigan-state-university/,20,https://www.niche.com/colleges/michigan-state-university/,A+,https://www.niche.com/colleges/michigan-state-university/
Scripps College,https://www.niche.com/colleges/scripps-college/,21,https://www.niche.com/colleges/scripps-college/,A+,https://www.niche.com/colleges/scripps-college/
